,Player,Prop,Probability,Last_25,Average_Last_25
0,Andrew Funk,5 PTS,0.881720450360012,20.0,12.76
1,Seth Lundy,10 PTS,0.805893813591325,21.0,14.68
2,Seth Lundy,3 REB,0.9140963781329705,23.0,6.24
3,Jalen Pickett,10 PTS,0.8697820466268291,24.0,18.6
4,Jalen Pickett,5 AST,0.8321057800136978,22.0,6.84
5,Jalen Pickett,3 REB,0.9076743328137027,24.0,7.52
6,Boo Buie,10 PTS,0.9029615283336387,24.0,18.08
7,Matthew Nicholson,3 REB,0.8081428806763769,22.0,5.44
8,Taylor Hendricks,10 PTS,0.8749722594829314,22.0,15.56
9,Taylor Hendricks,3 REB,0.9274694178384373,24.0,6.68
10,Ithiel Horton,5 PTS,0.8634941941429746,22.0,13.04
11,Darius Johnson,5 PTS,0.8244421155062918,18.0,10.090909090909092
12,Cj Kelly,5 PTS,0.8831394431888498,21.0,12.92
13,Kendric Davis,10 PTS,0.949336628002192,24.0,21.64
14,Kendric Davis,15 PTS,0.8250160347399633,19.0,21.64
15,Kendric Davis,3 AST,0.8010003776173973,22.0,5.52
16,Tyrese Proctor,5 PTS,0.9096274381027369,23.0,10.28
17,Jeremy Roach,5 PTS,0.9317165757989527,24.0,12.84
18,Nijel Pack,5 PTS,0.917285127865664,25.0,13.56
19,Isaiah Wong,5 PTS,0.9449536383739406,25.0,16.36
20,Isaiah Wong,10 PTS,0.8144807559786991,20.0,16.36
21,Jaren Holmes,5 PTS,0.9293828405534665,24.0,12.48
22,Gabe Kalscheur,5 PTS,0.9242919727821032,25.0,14.0
23,Gradey Dick,5 PTS,0.9411775880213061,24.0,14.08
24,Gradey Dick,3 REB,0.8807566545967738,23.0,5.08
25,Jalen Wilson,10 PTS,0.8948438363529592,23.0,18.96
26,Jalen Wilson,5 REB,0.8547883028258232,23.0,8.16
27,Gabe Mcglothan,5 PTS,0.8924318845775827,24.0,13.76
28,Gabe Mcglothan,3 REB,0.9236628511437148,23.0,7.56
29,Qua Grant,5 PTS,0.9387220220045707,24.0,13.84
30,Donte Powers,5 PTS,0.9372274777645447,23.0,12.0
31,Hakim Hart,5 PTS,0.8676565337723474,23.0,10.84
32,Julian Reese,5 PTS,0.8868722285925379,23.0,10.52
33,Julian Reese,3 REB,0.8981571409180805,24.0,7.12
34,Donta Scott,5 PTS,0.8810155390245209,24.0,10.36
35,Donta Scott,3 REB,0.8391331214760566,22.0,5.84
36,Jahmir Young,10 PTS,0.8659787656738052,22.0,16.88
37,Jahmir Young,3 REB,0.8067618846143836,24.0,4.8
38,Jermaine Couisnard,5 PTS,0.9371240638094751,18.0,13.222222222222221
39,Will Richardson,5 PTS,0.8590925351896443,23.0,11.8
40,Tyger Campbell,5 PTS,0.9380133385310857,23.0,12.84
